onset	duration	sample	value
0.027016	n/a	27.016	63
2.047016	n/a	2047.016	14
3.087016	n/a	3087.016	20
8.042016	n/a	8042.016	49
12.126016	n/a	12126.016	6
12.626016	n/a	12626.016	48
15.426016	n/a	15426.016	6
17.433016	n/a	17433.016	12
18.441016	n/a	18441.016	18
23.443016	n/a	23443.016	49
25.678016	n/a	25678.016	3
26.177016	n/a	26177.016	48
29.261016	n/a	29261.016	6
31.261016	n/a	31261.016	15
32.274016	n/a	32274.016	21
37.277016	n/a	37277.016	49
39.311016	n/a	39311.016	3
39.811016	n/a	39811.016	48
43.444016	n/a	43444.016	7
45.446016	n/a	45446.016	16
46.463016	n/a	46463.016	22
51.461016	n/a	51461.016	49
53.528016	n/a	53528.016	6
54.028016	n/a	54028.016	48
57.211016	n/a	57211.016	3
59.214016	n/a	59214.016	12
60.228016	n/a	60228.016	18
65.229016	n/a	65229.016	49
69.963016	n/a	69963.016	5
70.463016	n/a	70463.016	48
72.797016	n/a	72797.016	5
74.797016	n/a	74797.016	15
75.811016	n/a	75811.016	21
80.813016	n/a	80813.016	49
83.197016	n/a	83197.016	3
83.697016	n/a	83697.016	48
85.380016	n/a	85380.016	6
87.381016	n/a	87381.016	12
88.394016	n/a	88394.016	18
93.397016	n/a	93397.016	49
95.014016	n/a	95014.016	2
95.514016	n/a	95514.016	48
97.581016	n/a	97581.016	7
99.583016	n/a	99583.016	14
100.597016	n/a	100597.016	20
105.598016	n/a	105598.016	49
109.415016	n/a	109415.016	2
109.915016	n/a	109915.016	48
112.249016	n/a	112249.016	5
114.251016	n/a	114251.016	15
115.260016	n/a	115260.016	21
120.266016	n/a	120266.016	49
122.299016	n/a	122299.016	4
122.799016	n/a	122799.016	48
127.599016	n/a	127599.016	5
129.600016	n/a	129600.016	12
130.614016	n/a	130614.016	18
135.616016	n/a	135616.016	49
138.534016	n/a	138534.016	3
139.034016	n/a	139034.016	48
140.951016	n/a	140951.016	7
142.952016	n/a	142952.016	17
143.965016	n/a	143965.016	23
148.967016	n/a	148967.016	49
151.584016	n/a	151584.016	2
152.084016	n/a	152084.016	48
155.317016	n/a	155317.016	8
157.320016	n/a	157320.016	12
158.331016	n/a	158331.016	18
163.334016	n/a	163334.016	49
166.318016	n/a	166318.016	4
166.818016	n/a	166818.016	48
169.551016	n/a	169551.016	6
171.551016	n/a	171551.016	12
172.565016	n/a	172565.016	18
177.569016	n/a	177569.016	49
181.020016	n/a	181020.016	3
181.520016	n/a	181520.016	48
185.520016	n/a	185520.016	6
187.521016	n/a	187521.016	14
188.536016	n/a	188536.016	20
193.537016	n/a	193537.016	49
197.670016	n/a	197670.016	3
198.171016	n/a	198171.016	48
201.270016	n/a	201270.016	5
203.270016	n/a	203270.016	14
204.284016	n/a	204284.016	20
209.287016	n/a	209287.016	49
211.321016	n/a	211321.016	2
211.822016	n/a	211822.016	48
214.488016	n/a	214488.016	5
216.489016	n/a	216489.016	13
217.502016	n/a	217502.016	19
222.505016	n/a	222505.016	49
226.872016	n/a	226872.016	6
227.372016	n/a	227372.016	48
231.872016	n/a	231872.016	3
233.872016	n/a	233872.016	17
234.886016	n/a	234886.016	23
239.889016	n/a	239889.016	49
243.189016	n/a	243189.016	6
243.689016	n/a	243689.016	48
245.606016	n/a	245606.016	2
247.606016	n/a	247606.016	13
248.621016	n/a	248621.016	19
253.623016	n/a	253623.016	49
256.357016	n/a	256357.016	6
256.857016	n/a	256857.016	48
260.577016	n/a	260577.016	4
262.575016	n/a	262575.016	16
263.589016	n/a	263589.016	22
268.591016	n/a	268591.016	49
271.741016	n/a	271741.016	7
272.241016	n/a	272241.016	48
275.842016	n/a	275842.016	3
277.841016	n/a	277841.016	14
278.855016	n/a	278855.016	20
283.858016	n/a	283858.016	49
285.858016	n/a	285858.016	4
286.358016	n/a	286358.016	48
289.226016	n/a	289226.016	5
291.228016	n/a	291228.016	15
292.241016	n/a	292241.016	21
297.242016	n/a	297242.016	49
298.593016	n/a	298593.016	2
299.093016	n/a	299093.016	48
301.076016	n/a	301076.016	8
303.077016	n/a	303077.016	15
304.096016	n/a	304096.016	21
309.093016	n/a	309093.016	49
314.743016	n/a	314743.016	4
315.245016	n/a	315245.016	48
317.526016	n/a	317526.016	6
319.528016	n/a	319528.016	15
320.542016	n/a	320542.016	21
325.544016	n/a	325544.016	49
328.628016	n/a	328628.016	4
329.128016	n/a	329128.016	48
332.328016	n/a	332328.016	7
334.330016	n/a	334330.016	13
335.342016	n/a	335342.016	19
340.345016	n/a	340345.016	49
344.345016	n/a	344345.016	4
344.845016	n/a	344845.016	48
346.645016	n/a	346645.016	2
348.645016	n/a	348645.016	14
349.658016	n/a	349658.016	20
354.662016	n/a	354662.016	49
356.746016	n/a	356746.016	2
357.246016	n/a	357246.016	48
360.229016	n/a	360229.016	7
362.230016	n/a	362230.016	17
363.243016	n/a	363243.016	23
368.246016	n/a	368246.016	49
369.713016	n/a	369713.016	2
370.214016	n/a	370214.016	48
372.980016	n/a	372980.016	6
374.984016	n/a	374984.016	17
375.994016	n/a	375994.016	23
380.997016	n/a	380997.016	49
438.217016	n/a	438217.016	3
438.717016	n/a	438717.016	48
440.818016	n/a	440818.016	4
442.818016	n/a	442818.016	17
443.831016	n/a	443831.016	23
448.835016	n/a	448835.016	49
453.351016	n/a	453351.016	2
453.851016	n/a	453851.016	48
456.652016	n/a	456652.016	5
458.652016	n/a	458652.016	17
459.666016	n/a	459666.016	23
464.668016	n/a	464668.016	49
467.335016	n/a	467335.016	2
467.835016	n/a	467835.016	48
472.885016	n/a	472885.016	7
474.888016	n/a	474888.016	12
475.900016	n/a	475900.016	18
480.904016	n/a	480904.016	49
485.370016	n/a	485370.016	3
485.870016	n/a	485870.016	48
488.570016	n/a	488570.016	7
490.571016	n/a	490571.016	12
491.587016	n/a	491587.016	18
496.588016	n/a	496588.016	49
498.287016	n/a	498287.016	3
498.788016	n/a	498788.016	48
500.454016	n/a	500454.016	7
502.456016	n/a	502456.016	16
503.468016	n/a	503468.016	22
508.471016	n/a	508471.016	49
510.471016	n/a	510471.016	7
510.971016	n/a	510971.016	48
516.572016	n/a	516572.016	3
518.576016	n/a	518576.016	12
519.586016	n/a	519586.016	18
524.589016	n/a	524589.016	49
532.439016	n/a	532439.016	3
532.940016	n/a	532940.016	48
535.206016	n/a	535206.016	6
537.208016	n/a	537208.016	17
538.222016	n/a	538222.016	23
543.223016	n/a	543223.016	49
544.939016	n/a	544939.016	2
545.441016	n/a	545441.016	48
549.407016	n/a	549407.016	6
551.407016	n/a	551407.016	13
552.419016	n/a	552419.016	19
557.424016	n/a	557424.016	49
561.408016	n/a	561408.016	4
561.908016	n/a	561908.016	48
565.609016	n/a	565609.016	4
567.611016	n/a	567611.016	15
568.621016	n/a	568621.016	21
573.625016	n/a	573625.016	49
575.975016	n/a	575975.016	2
